x,y,t,id
-73.9003107,42.8472341,2010-03-08T05:36:08Z,1016
-73.9007609,42.8474295,2010-03-08T05:38:18Z,1016
-73.9005959,42.8470298,2010-03-08T05:40:14Z,1016
-73.9008423,42.8470112,2010-03-08T05:42:09Z,1016
-73.901108,42.8468899,2010-03-08T05:44:07Z,1016
-73.9014046,42.8469133,2010-03-08T05:46:19Z,1016
-73.9012761,42.8468733,2010-03-08T05:48:11Z,1016
-73.9014939,42.8472278,2010-03-08T05:50:50Z,1016
-73.901739,42.8472801,2010-03-08T05:52:50Z,1016
-73.9018125,42.8471976,2010-03-08T05:56:19Z,1016
-73.9023714,42.8471125,2010-03-08T05:58:11Z,1016
-73.902445,42.8473472,2010-03-08T06:01:52Z,1016
-73.9024227,42.8471184,2010-03-08T06:05:39Z,1016
